name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
gwangyang,2018-01-01,44,28.9,37.8,38.1,24.7,31.5,24.9,60.3,0,0,0,,,,,14.8,335.8,1026.9,3.3,9,139.9,12,6,,2018-01-01T07:37:53,2018-01-01T17:28:52,0.47,Clear,Clear conditions throughout the day.,clear-day,"47156099999,47174099999,47192099999,47173099999,remote,47168099999"
gwangyang,2018-01-02,46.7,22.8,38.6,41.1,22.8,33.8,28.3,67,0,0,0,,,,,14.8,329.9,1028.4,9.6,4.8,125.2,10.8,5,,2018-01-02T07:38:04,2018-01-02T17:29:37,0.5,Clear,Clear conditions throughout the day.,clear-day,"47156099999,47174099999,47192099999,47173099999,remote,47168099999"
gwangyang,2018-01-03,41.8,28.4,35.3,33.6,20,26.5,22.7,61.3,0,0,0,,,,,18.3,335.9,1028.9,25.8,9.6,142.9,12.4,6,,2018-01-03T07:38:14,2018-01-03T17:30:25,0.53,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"47156099999,47174099999,47192099999,47173099999,remote,47168099999"
gwangyang,2018-01-04,39.5,26.6,34.4,39.5,18.8,28.6,21,58.6,0,0,0,,,,,15.9,345.4,1026.4,92,9.9,71.3,6.1,3,,2018-01-04T07:38:21,2018-01-04T17:31:13,0.57,Overcast,Cloudy skies throughout the day.,cloudy,"47156099999,47174099999,47192099999,47173099999,remote,47168099999"
gwangyang,2018-01-05,42.9,30.4,37,39.5,23.3,30.3,25.4,63.4,0.012,100,12.5,rain,,,,20.1,319.5,1020.3,37,9.1,135.4,11.8,6,,2018-01-05T07:38:26,2018-01-05T17:32:02,0.6,"Rain, Partially cloudy",Clearing in the afternoon with early morning rain.,rain,"47156099999,47174099999,47192099999,47173099999,remote,47168099999"
gwangyang,2018-01-06,44.7,30.1,37.8,39.5,22.2,30.8,25.3,62.2,0,0,0,,,,,19,331.6,1022.2,9.3,9.6,148.3,12.8,6,,2018-01-06T07:38:30,2018-01-06T17:32:52,0.63,Clear,Clear conditions throughout the day.,clear-day,"47156099999,47174099999,47192099999,47173099999,remote,47168099999"
gwangyang,2018-01-07,47.7,23.6,40,43.4,23.6,36.3,30.1,68.3,0.001,100,4.17,rain,,,,11,64.8,1021.8,78.9,7.6,86.6,7.4,4,,2018-01-07T07:38:31,2018-01-07T17:33:44,0.67,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"47156099999,47174099999,47192099999,47173099999,remote,47168099999"
gwangyang,2018-01-08,45.6,35.1,41.5,40.6,29.4,35.7,38.8,90,0.117,100,16.67,"rain,snow",,,,26.4,330.2,1011.9,85.1,3.8,23.2,2,1,,2018-01-08T07:38:31,2018-01-08T17:34:36,0.7,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,rain,"47156099999,47174099999,47192099999,47173099999,remote,47168099999"
gwangyang,2018-01-09,40.4,28.7,35.7,29.8,19.1,25.5,27.8,72.9,0.022,100,16.67,"rain,snow",,,,28,297,1014,33.9,6.1,128.6,11.1,5,,2018-01-09T07:38:29,2018-01-09T17:35:29,0.75,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,rain,"47156099999,47174099999,47192099999,47173099999,remote,47168099999"
gwangyang,2018-01-10,38.9,23,32.9,29.1,16.8,23.5,27.4,80.1,0.138,100,16.67,"rain,snow",,,,32,297.5,1017.6,61.4,4.7,68.3,5.8,3,,2018-01-10T07:38:25,2018-01-10T17:36:23,0.77,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,rain,"47156099999,47174099999,47192099999,47173099999,remote,47168099999"
