Usage,LaggingCurrentReactivePower,LeadingCurrentReactivePower,CO2,LaggingCurrentPowerFactor,LeadingCurrentPowerFactor,NSM,WeekStatus,Year,Month,Day,Hours,Minutes,IsHoliday,Season,TempMax,TempMin,Temp,FeelsLikeMax,FeelsLikeMin,FeelsLike,Dew,Humidity,Precip,PrecipProb,PrecipCover,PrecipType,SnowDepth,WindGust,WindSpeed,WindDir,SeaLevelPressure,CloudCover,Visibility,SolarRadiation,SolarEnergy,UvIndex,Conditions,SunriseHour,LoadType,SunsetHour
3.17,2.95,0.0,0.0,73.21,100.0,900,Weekday,2018,1,1,0,15,1,Winter,44.0,28.9,37.8,38.1,24.7,31.5,24.9,60.3,0.0,0,0.0,noprecip,0,0,14.8,335.8,1026.9,3.3,9.0,139.9,12.0,6,Clear,7,Light_Load,17
3.28,3.56,0.0,0.0,67.76,100.0,5400,Weekday,2018,1,1,1,30,1,Winter,44.0,28.9,37.8,38.1,24.7,31.5,24.9,60.3,0.0,0,0.0,noprecip,0,0,14.8,335.8,1026.9,3.3,9.0,139.9,12.0,6,Clear,7,Light_Load,17
3.46,4.03,0.0,0.0,65.14,100.0,9900,Weekday,2018,1,1,2,45,1,Winter,44.0,28.9,37.8,38.1,24.7,31.5,24.9,60.3,0.0,0,0.0,noprecip,0,0,14.8,335.8,1026.9,3.3,9.0,139.9,12.0,6,Clear,7,Light_Load,17
3.89,5.0,0.0,0.0,61.4,100.0,14400,Weekday,2018,1,1,4,0,1,Winter,44.0,28.9,37.8,38.1,24.7,31.5,24.9,60.3,0.0,0,0.0,noprecip,0,0,14.8,335.8,1026.9,3.3,9.0,139.9,12.0,6,Clear,7,Light_Load,17
3.56,4.07,0.0,0.0,65.84,100.0,18900,Weekday,2018,1,1,5,15,1,Winter,44.0,28.9,37.8,38.1,24.7,31.5,24.9,60.3,0.0,0,0.0,noprecip,0,0,14.8,335.8,1026.9,3.3,9.0,139.9,12.0,6,Clear,7,Light_Load,17
3.24,3.35,0.0,0.0,69.52,100.0,23400,Weekday,2018,1,1,6,30,1,Winter,44.0,28.9,37.8,38.1,24.7,31.5,24.9,60.3,0.0,0,0.0,noprecip,0,0,14.8,335.8,1026.9,3.3,9.0,139.9,12.0,6,Clear,7,Light_Load,17
3.2,3.6,0.0,0.0,66.44,100.0,27900,Weekday,2018,1,1,7,45,1,Winter,44.0,28.9,37.8,38.1,24.7,31.5,24.9,60.3,0.0,0,0.0,noprecip,0,0,14.8,335.8,1026.9,3.3,9.0,139.9,12.0,6,Clear,7,Light_Load,17
3.89,0.0,15.66,0.0,100.0,24.11,32400,Weekday,2018,1,1,9,0,1,Winter,44.0,28.9,37.8,38.1,24.7,31.5,24.9,60.3,0.0,0,0.0,noprecip,0,0,14.8,335.8,1026.9,3.3,9.0,139.9,12.0,6,Clear,7,Light_Load,17
4.07,0.0,22.32,0.0,100.0,17.94,36900,Weekday,2018,1,1,10,15,1,Winter,44.0,28.9,37.8,38.1,24.7,31.5,24.9,60.3,0.0,0,0.0,noprecip,0,0,14.8,335.8,1026.9,3.3,9.0,139.9,12.0,6,Clear,7,Light_Load,17
3.46,0.0,4.82,0.0,100.0,58.31,41400,Weekday,2018,1,1,11,30,1,Winter,44.0,28.9,37.8,38.1,24.7,31.5,24.9,60.3,0.0,0,0.0,noprecip,0,0,14.8,335.8,1026.9,3.3,9.0,139.9,12.0,6,Clear,7,Light_Load,17
3.67,0.0,16.67,0.0,100.0,21.5,45900,Weekday,2018,1,1,12,45,1,Winter,44.0,28.9,37.8,38.1,24.7,31.5,24.9,60.3,0.0,0,0.0,noprecip,0,0,14.8,335.8,1026.9,3.3,9.0,139.9,12.0,6,Clear,7,Light_Load,17
4.28,0.0,23.4,0.0,100.0,17.99,50400,Weekday,2018,1,1,14,0,1,Winter,44.0,28.9,37.8,38.1,24.7,31.5,24.9,60.3,0.0,0,0.0,noprecip,0,0,14.8,335.8,1026.9,3.3,9.0,139.9,12.0,6,Clear,7,Light_Load,17
3.92,0.0,19.33,0.0,100.0,19.87,54900,Weekday,2018,1,1,15,15,1,Winter,44.0,28.9,37.8,38.1,24.7,31.5,24.9,60.3,0.0,0,0.0,noprecip,0,0,14.8,335.8,1026.9,3.3,9.0,139.9,12.0,6,Clear,7,Light_Load,17
3.6,0.0,16.81,0.0,100.0,20.94,59400,Weekday,2018,1,1,16,30,1,Winter,44.0,28.9,37.8,38.1,24.7,31.5,24.9,60.3,0.0,0,0.0,noprecip,0,0,14.8,335.8,1026.9,3.3,9.0,139.9,12.0,6,Clear,7,Light_Load,17
3.6,0.0,17.39,0.0,100.0,20.27,63900,Weekday,2018,1,1,17,45,1,Winter,44.0,28.9,37.8,38.1,24.7,31.5,24.9,60.3,0.0,0,0.0,noprecip,0,0,14.8,335.8,1026.9,3.3,9.0,139.9,12.0,6,Clear,7,Light_Load,17
4.07,0.0,22.57,0.0,100.0,17.75,68400,Weekday,2018,1,1,19,0,1,Winter,44.0,28.9,37.8,38.1,24.7,31.5,24.9,60.3,0.0,0,0.0,noprecip,0,0,14.8,335.8,1026.9,3.3,9.0,139.9,12.0,6,Clear,7,Light_Load,17
4.03,0.0,22.54,0.0,100.0,17.6,72900,Weekday,2018,1,1,20,15,1,Winter,44.0,28.9,37.8,38.1,24.7,31.5,24.9,60.3,0.0,0,0.0,noprecip,0,0,14.8,335.8,1026.9,3.3,9.0,139.9,12.0,6,Clear,7,Light_Load,17
3.53,0.0,17.42,0.0,100.0,19.86,77400,Weekday,2018,1,1,21,30,1,Winter,44.0,28.9,37.8,38.1,24.7,31.5,24.9,60.3,0.0,0,0.0,noprecip,0,0,14.8,335.8,1026.9,3.3,9.0,139.9,12.0,6,Clear,7,Light_Load,17
3.24,3.35,0.0,0.0,69.52,100.0,81900,Weekday,2018,1,1,22,45,1,Winter,44.0,28.9,37.8,38.1,24.7,31.5,24.9,60.3,0.0,0,0.0,noprecip,0,0,14.8,335.8,1026.9,3.3,9.0,139.9,12.0,6,Clear,7,Light_Load,17
3.42,3.46,0.0,0.0,70.3,100.0,0,Weekday,2018,1,1,0,0,1,Winter,44.0,28.9,37.8,38.1,24.7,31.5,24.9,60.3,0.0,0,0.0,noprecip,0,0,14.8,335.8,1026.9,3.3,9.0,139.9,12.0,6,Clear,7,Light_Load,17
3.89,4.72,0.0,0.0,63.6,100.0,4500,Weekday,2018,1,2,1,15,0,Winter,46.7,22.8,38.6,41.1,22.8,33.8,28.3,67.0,0.0,0,0.0,noprecip,0,0,14.8,329.9,1028.4,9.6,4.8,125.2,10.8,5,Clear,7,Light_Load,17
3.6,4.36,0.0,0.0,63.67,100.0,9000,Weekday,2018,1,2,2,30,0,Winter,46.7,22.8,38.6,41.1,22.8,33.8,28.3,67.0,0.0,0,0.0,noprecip,0,0,14.8,329.9,1028.4,9.6,4.8,125.2,10.8,5,Clear,7,Light_Load,17
3.24,3.49,0.0,0.0,68.04,100.0,13500,Weekday,2018,1,2,3,45,0,Winter,46.7,22.8,38.6,41.1,22.8,33.8,28.3,67.0,0.0,0,0.0,noprecip,0,0,14.8,329.9,1028.4,9.6,4.8,125.2,10.8,5,Clear,7,Light_Load,17
3.24,3.42,0.0,0.0,68.77,100.0,18000,Weekday,2018,1,2,5,0,0,Winter,46.7,22.8,38.6,41.1,22.8,33.8,28.3,67.0,0.0,0,0.0,noprecip,0,0,14.8,329.9,1028.4,9.6,4.8,125.2,10.8,5,Clear,7,Light_Load,17
